故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
参数配置,,,分拣过程中会触发翻板传感器,客户反馈LPP第五套场地中，翻板卸货以后，有货物遮挡住翻板，会报警,经调查发现，该场地的固件版本和其它场地不一致。,将该场地的固件版本升级成LB3dSorting_66_E_FH1S_ENG.up
硬件,灯条按钮盒,,格口满包,客户反馈格口5F015已经满包了，但是小车还是不停在这个格口卸货,经调查发货，虽然这个格口的商品已经满了，但是RCS软件上面还是显示未满包状态，怀疑由于线路问题，灯条的格口满包感应没有触发,让客户拔插该灯条两侧的连接线路，恢复正常。
客户操作,,,关闭波次,客户反馈GRU3上面的波次#ID2506010086无法关闭,经调查发现，上层车服还有一台小车的任务还没有卸货,将这台小车的任务卸货以后，可以正常关闭波次
其它,网络,,RCS主机网络不通,客户反馈现场3DA场地上下两层的RCS和WCS之间的网络不通,经调查发现，RCS电脑的防火墙被打开了,关闭防火墙，恢复正常
数据补推和货架释放,,,货架打包异常,波次#GB2506020131分拣完成以后，货架GBW0075和GBW0018无法打包,WCS有一条数据回传给WES是失败状态,重推数据，恢复正常。
客户操作,,,RCS重新设置地图方向，扫地图，配置发货台和格口,客户在场内搬迁设备后，地毯铺设方向改变。,客户在场内搬迁设备后，地毯铺设方向改变。箭头与原地图不同。,"根据客户反馈的现场实际箭头方向重新变更RCS内地图方向。重新扫地图写码文件。
同时台面上没有充电桩，所有小车都低电量。
协助客户摆放充电桩，并调整充电桩至合适位置，补充画了一张紧急充电地图，给所有小车紧急充电。"
飞箱异常,其它,,拉箱<-货架   飞箱: 101033 箱位: (A007)09-040..........拉箱机拉箱失败，箱子脱钩,拉箱<-货架   飞箱: 101033 箱位: (A007)09-040..........拉箱机拉箱失败，箱子脱钩,,拉箱失败 终止启动重新拉取箱子
其它,地面车急停,,发生了区域锁定,"地面车 219193 区域急停 机器人: 219193 发生了区域锁定,坐标: 10,30,错误码: 21C,描述激光雷达避障急停,检查并复位",,现场客户不小心碰到 对准桩点重新定位
其它,地面车急停,,发生了区域锁定,"地面车 219222 区域急停 机器人: 219222 发生了区域锁定,坐标: 13,31,错误码: 242,描述执行动作时,没有到达目标点附近",,现场客户碰到地面车了，调整位置 重新定位
硬件,飞箱,触点,电压持续掉电,飞箱101062电压持续掉电！！！,,现场客户把触点拆下来，确认触点有问题，肖哥前往现场更换触点
其它,地面车急停,,发生了区域锁定,"地面车 229007 区域急停 ロボット: 229007 エリアロックが発生しました、座標: 54,63、エラーコード: 234、説明 目的地マップ情報取得失敗",u型工作站的两张地毯没有rfid，所以车不能放在工作站那里定位,工人拉扯了那台车造成急停
其它,飞箱掉电,,拉箱<-货架  飞箱: 101062 箱位: (A001)03-025  未覆盖的异常，需要开发人员检查!,拉箱<-货架  飞箱: 101062 箱位: (A001)03-025  未覆盖的异常，需要开发人员检查!,触点需要更换,现场客户把触点拆下来，确认触点有问题，肖哥前往现场更换触点
飞箱异常,其它,,"拉箱<-货架  飞箱: 101074 箱位: (A075)09-036......调整位置的次数超过10次,调整拉箱位置失败","拉箱<-货架  飞箱: 101074 箱位: (A075)09-036......调整位置的次数超过10次,调整拉箱位置失败",,终止启动 重新做拉取动作
其它,货物超高,,"推箱->货架  飞箱: 101062 箱位: (A002)12-017.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 101062 箱位: (A002)12-017.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",,让现场的人把超高的物品拿下来，然后启动飞箱
飞箱异常,其它,,拉箱<-地面车 飞箱: 101031 地面车: 219234............在地面车拉箱失败，箱子脱钩,拉箱<-地面车 飞箱: 101031 地面车: 219234............在地面车拉箱失败，箱子脱钩,,终止启动，读取日志
硬件,机器人,其它,区域急停,小车区域急停,,读取日志，手动校准位置后恢复
软件,扫码台软件,,相机离线,扫码台连接相机离线,"1.相机网络正常
2.重启相机后扫码台依然无法连接
3，扫码台dahua配置文件没有损坏
4，扫码台软件损坏",从正常的扫码台拷贝一份软件过来过来替换配置文件后恢复正常
硬件,分拣机,3号电机,分拣机电机离线,"分拣机3,4,5号电机离线，重启和回零正常一会后依然离线，电机灯闪烁",3号电机连接线,3号电机线拔插进去恢复正常
硬件,电子标签,,电子标签无法正常打印小票,现场无法正常打印小票，现场反馈连接网络电脑切屏是黑屏状态,"1、按钮盒程序正常在线
2、电子标签无法打印正常
3，无法正常远程连接网络电脑，视频查看时黑屏，打印服务安装在rcs备机上（关机）",开启RCS备机电脑，打印服务开启后恢复正常
硬件,机器人,其它,小车区域急停,"请解决:地面车219252区域急停机器人:219252 发生了区域锁定，坐标:7.31,错误码:242,描述执行动作时,没有到达目标点附近",,读取日志，无法定位准确的位置，客户搬小车到地毯上重新定位
飞箱异常,其它,,拉箱失败,g_debug_str:拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,,读取飞箱日志和tof日志，手动复位箱子后终止启动
硬件,机器人,其它,小车区域急停,"请解决:地面车226076区域急停机器226076 发生了区域锁定,坐标:25,30,错242,描述执行动作时,没有到达目标点附",,读取日志，手动定位正确的位置后恢复
飞箱异常,料箱位置不正,,拉箱失败,请解决:拉箱<-货架飞箱:101052 箱位:(A004)05-029拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,,读取飞箱日志和tof日志，手动恢复，终止启动
硬件,飞箱,TOF24,飞箱tof离线,飞箱tof升级结束后离线,跟据肖工判断因为飞箱tof版本未升级导致,飞箱操作界面24v断电直到飞箱降下，再开启24v电压恢复，再升级tof（升级包需要找吴占宁要）
客户操作,,,删除波次,客户需要删除已启动波次PO2505090077,客户误启动波次,"1.wave_info表中修改状态到0(未启动)
2.删除wall_wave_bind_info表中所有关联对应波次的货架数据
3.MCS上删除波次并重启
4.wave_info中修改valid为0(隐藏波次)
5.order_info中修改is_packaged为1"
软件,RCS,,格口不投货,没有机器人往5F006格口投货,RCS中格口显示满包状态，灯条软件显示空闲，不清楚是不是客户关闭的,左键打开格口后正常投货
飞箱异常,其它,,101063飞箱拉箱失败,拉箱<-货架   飞箱: 101063 箱位: (A002)13-042..........No running position:9 目标:2.0实际:36.1,,飞箱界面手动摆正箱子后，终止任务，重新启动
飞箱异常,料箱位置不正,,101023飞箱拉箱失败,拉箱<-货架   飞箱: 101023 箱位: (A010)11-045..........No running position:9 目标:2.0实际:374.4,,临时措施：飞箱操控界面，手动调整料箱位置放正，然后终止任务启动任务后飞箱恢复正常
飞箱异常,其它,,101052飞箱拉箱失败,"101052 箱位: (A004)05-032
调整位置的次数超过10次,调整拉箱位置失败",,飞箱操作页面，手动调整箱子位置后，手动拉箱，还箱后，终止启动后恢复
其它,,,219236地面车急停,"地面车 219236 区域急停 机器人: 219236 发生了区域锁定,坐标: 30,30,错误码: 242,描述执行动作时,没有到达目标点附近",,看日志后，可能是物料超高导致碰到工作台下的横梁，导致急停，点击已解决后恢复
硬件,飞箱,触点,101013飞箱电压异常,飞箱电压不足26V，飞箱欠压,,左右轻微移动飞箱，看到电流正常后，等电压恢复到26V以上，点击终止启动后正常
其它,tof有灰尘,,101021飞箱TOF23号镜头上有灰尘,"101021 箱位: (A009)13-006未配置刷子
tof23号镜头有灰尘,2,0",,联系现场人员帮忙擦拭TOF上的灰尘后重新启动后恢复
飞箱异常,料箱位置不正,,101013飞箱拉货架失败,"飞箱: 101013 箱位: (A011)06-035
拉箱机拉箱失败，箱子脱钩",,"临时措施：终止启动后，点击已解决恢复
长期措施：拿去日志待研发查找根本原因"
其它,,,219185地面车区域急停,"地面车 219185 区域急停 机器人: 219185 发生了区域锁定,坐标: 13,31,错误码: 242,描述执行动作时,没有到达目标点附近",地面车在工作站附近定位异常，导致误判断后急停,根据地面车雷达显示的桩点重新定位后恢复
其它,,,219229地面车工作站前急停,"地面车 219229 区域急停 机器人: 219229 发生了区域锁定,坐标: 4,2,错误码: 21C,描述激光雷达避障急停,检查并复位 ，查看日志发现有人员脚部部位出现在机器人前方，导致机器人急停",,人员离开后，点击已解决后恢复
飞箱异常,TOF异常,,101063飞箱拉箱失败,"101063 箱位: (A002)04-042
No running position:9 目标:2.0实际:385.5，飞箱靠近立柱，拉箱时拉箱失败，重新将箱子推回货架后，重新拉箱后正常",,终止任务后，重新启动后，飞箱正常
飞箱异常,其它,,101070飞箱拉箱失败,"项目名称：流山UA 
报警消息：トート押込む->棚
AirRob: 101070 ロケーション: (A071)07-046
箱を押すとき、引き機に箱がありません
实际情况是飞箱拉箱的时候靠近立柱，被立柱剐蹭到导致箱子倾斜，导致拉箱失败，上面的报错是处理之后弹出的，前面没有弹窗
临时手动调整箱子后终止重试恢复
肖侠驹已经在修改在SIG昨天升级了测试",,
波次问题（移除、迁移、关闭）,移除波次,,移除波次,客户要求将未分拣的波次PO2505280078移除,客户需求,"1. 执行 select * from wave_info where wave_no = 'PO2505280078'; 将status字段改为4；
2. 执行update order_info set is_packaged = 1 where wave_no = 'PO2505280078';"
硬件,灯条按钮盒,,灯条故障,客户3C201这个格口无法卸货,调查发现，由于这个格口的灯条有故障，导致这个格口一直处于满包关闭状态,让客户拔插这个格口的灯条的两侧连接线，恢复正常。
硬件,分拣机,CAN线,3D分拣机故障,GRU1-23这台分拣机显示上线中,排查发现这台分拣机连接主板上面Can线接触有问题,重新拔插Can线，恢复正常。
飞箱异常,料箱位置不正,,三井飞箱104005货架拉箱失败,三井飞箱104005货架拉箱失败,箱子有点向里靠了，导致轨道机拉不到,箱位是(A005)20-013，在背面(A006)20-013也推一个箱子，将(A005)20-013挤出
硬件,充电桩,,充电桩异常,充电桩充电异常,怀疑充电口氧化,现场用砂纸打磨后充电正常
参数配置,,,相机识别速度慢,右侧相机识别速度慢，但左边正常,相机参数配置问题,将左侧的相机配置导出，在导入右侧相机，现场分拣反馈正常
客户操作,,,修改分拣场地,将波次ID2505290009从Gru 3改到Gru 2,未知,数据库中修改
客户操作,,,修改分拣场地,将波次ID25052700101从Gru 4改到Gru 2,未知,数据库中修改
硬件,飞箱,触点,飞箱低电压报警,飞箱104007低电压报警,触点接触不良，导致飞箱无法供电,更换新的触点
硬件,分拣机,读卡器,3D分拣机亮红灯报警,客户反馈在分拣的过程中，38号3D分拣机右侧会亮红灯报警,经调查发现，右侧的读卡器有问题，需要更换,更换新的读卡器。
